game_id,genre_id
1,1
1,2
1,3
2,4
2,3
2,5
3,6
3,7
4,8
4,9
4,10
5,1
5,11
5,3
6,12
6,13
7,12
7,13
8,14
8,9
8,15
9,16
9,3
10,17
10,18
10,3
11,12
11,13
12,19
12,20
12,16
13,4
13,5
13,3
14,21
14,6
15,2
15,4
15,3
16,17
16,18
16,3
17,4
17,5
17,3
18,21
18,6
19,17
19,18
19,3
20,17
20,18
20,3
21,14
21,12
22,4
22,5
22,3
23,22
23,23
24,12
24,13
25,14
25,3
26,24
26,6
27,12
27,25
28,2
28,4
28,3
29,12
29,25
30,14
30,3
31,26
31,27
31,28
32,12
32,29
33,14
33,30
34,8
34,9
34,10
35,31
35,6
36,31
36,6
37,4
37,5
37,3
38,12
38,32
39,33
39,6
40,16
40,3
41,12
41,25
42,12
42,13
43,12
43,13
44,12
44,13
45,22
45,14
46,14
46,3
47,4
47,5
47,3
48,14
48,30
49,6
49,7
50,12
50,32
51,12
51,25
52,12
52,32
53,19
53,20
53,16
54,30
54,34
55,35
55,28
55,36
56,4
56,5
56,3
57,14
57,3
58,37
58,3
59,14
59,30
60,4
60,5
60,3
61,8
61,9
61,10
62,12
62,25
63,22
63,3
64,16
64,3
65,2
65,4
65,3
66,17
66,18
66,3
67,14
67,3
68,22
68,38
69,22
69,3
70,4
70,5
70,3
71,1
71,2
71,3
72,1
72,2
72,3
73,2
73,4
73,3
74,2
74,4
74,3
75,22
75,38
76,35
76,28
76,36
77,12
77,13
78,4
78,5
78,3
79,1
79,11
79,3
80,12
80,32
81,2
81,4
81,3
82,6
82,7
83,4
83,5
83,3
84,12
84,13
84,25
85,12
85,13
85,25
86,4
86,5
86,3
87,12
87,25
88,14
88,30
89,24
89,6
90,14
90,12
91,1
91,11
91,3
92,19
92,20
92,16
93,12
93,25
94,24
94,6
95,1
95,11
95,3
96,1
96,11
96,3
97,24
97,6
98,24
98,6
99,12
99,25
100,1
100,2
100,3
101,1
101,2
101,3
102,14
102,12
102,32
103,39
103,40
103,41
104,2
104,4
104,3
105,42
105,43
105,16
105,3
106,12
106,25
107,22
107,23
108,22
108,23
109,12
109,25
110,12
110,25
111,12
111,25
112,14
112,3
113,1
113,11
113,3
114,2
114,4
114,3
115,24
115,6
116,24
116,6
117,35
117,39
117,44
117,41
118,12
118,25
119,1
119,11
119,3
120,42
120,1
120,45
121,2
121,4
121,3
122,2
122,4
122,3
123,21
123,6
124,30
124,46
125,30
125,46
126,1
126,11
126,3
127,1
127,11
127,3
128,47
128,30
129,1
129,5
129,3
130,12
130,25
131,24
131,6
132,48
132,27
132,28
133,2
133,4
133,3
134,1
134,11
134,3
135,1
135,11
135,3
136,30
136,34
137,30
137,34
138,12
138,25
139,26
139,27
139,28
140,12
140,13
141,12
141,13
142,12
142,13
143,14
143,12
143,30
143,25
144,24
144,6
145,22
145,14
146,1
146,2
146,3
147,1
147,11
147,3
148,1
148,11
148,3
149,22
149,14
150,12
150,32
151,12
151,13
152,2
152,4
152,3
153,12
153,25
153,32
154,2
154,4
154,3
155,1
155,5
155,3
156,1
156,5
156,3
157,30
157,34
158,1
158,5
158,3
159,12
159,25
159,32
160,43
160,49
160,3
160,50
161,2
161,4
161,3
162,14
162,3
163,42
163,43
163,16
163,3
164,22
164,14
165,31
165,6
166,1
166,5
166,3
167,22
167,14
168,14
168,3
169,30
169,34
170,30
170,34
171,12
171,25
172,8
172,9
172,10
173,8
173,9
173,10
174,8
174,9
174,10
175,5
175,3
175,44
175,39
175,1
175,35
175,41
176,8
176,9
176,10
177,8
177,9
177,10
178,8
178,9
178,10
179,8
179,9
179,10
180,8
180,9
180,10
181,1
181,5
181,3
182,8
182,9
182,10
183,8
183,9
183,10
184,8
184,9
184,10
185,8
185,9
185,10
186,8
186,9
186,10
187,8
187,9
187,10
188,8
188,9
188,10
189,8
189,9
189,10
190,8
190,9
190,10
191,8
191,9
191,10
192,19
192,20
192,51
192,16
193,22
193,3
194,14
194,6
194,24
194,3
195,14
195,39
196,42
196,43
196,16
196,3
197,30
197,52
197,34
198,30
198,34
199,24
199,6
200,22
200,14
201,35
201,28
201,36
202,2
202,4
202,3
203,8
203,14
203,9
203,10
203,12
204,12
204,32
205,2
205,4
205,3
206,19
206,20
206,16
207,26
207,27
207,28
208,2
208,4
208,3
209,12
209,13
210,12
210,13
211,12
211,13
212,31
212,6
213,24
213,6
214,1
214,11
214,3
215,12
215,13
216,26
216,27
216,28
217,12
217,32
218,12
218,13
219,12
219,13
220,12
220,32
221,22
221,53
222,1
222,11
222,3
223,43
223,54
223,3
223,16
224,48
224,27
224,28
225,43
225,54
225,3
225,16
226,12
226,13
227,14
227,3
228,22
228,3
229,1
229,11
229,3
230,8
230,14
230,9
230,32
230,12
230,52
231,55
231,39
231,41
232,12
232,32
233,12
233,32
234,12
234,32
235,12
235,32
236,17
236,18
236,3
237,2
237,4
237,3
238,4
238,5
238,3
239,1
239,11
239,3
240,33
240,31
240,6
241,6
241,56
242,42
242,43
242,3
242,28
242,57
242,35
242,58
242,59
243,43
243,54
243,3
243,60
243,9
243,15
243,61
244,21
244,6
245,12
245,32
246,26
246,27
246,28
247,22
247,53
248,1
248,11
248,3
249,22
249,3
250,22
250,3
251,55
251,39
251,41
252,1
252,5
252,3
253,8
253,9
253,10
254,14
254,30
254,34
255,8
255,9
255,52
255,10
256,8
256,9
256,10
257,8
257,9
257,10
258,12
258,32
259,12
259,25
260,14
260,6
260,53
260,22
261,12
261,29
262,39
262,40
262,41
263,6
263,56
264,14
264,6
265,32
265,13
265,12
266,30
266,34
267,3
267,62
267,14
267,63
267,30
268,2
268,3
268,4
268,30
268,52
269,2
269,4
269,3
270,48
270,27
270,28
271,2
271,4
271,3
272,22
272,23
273,42
273,43
273,3
273,14
273,16
273,30
273,59
274,14
274,12
274,3
274,25
275,33
275,6
276,12
276,32
277,31
277,6
278,22
278,38
279,42
279,43
279,3
279,16
279,52
280,21
280,6
281,22
281,3
282,31
282,6
283,4
283,5
283,3
284,4
284,5
284,3
285,64
285,16
285,19
285,20
285,65
286,12
286,25
287,14
287,1
287,11
287,3
288,22
288,3
289,24
289,66
289,6
290,14
290,12
290,13
291,67
292,1
292,11
292,3
293,22
293,2
293,4
293,3
294,22
294,2
294,4
294,3
295,2
295,4
295,3
296,22
296,23
297,30
297,52
297,34
298,14
298,31
298,6
299,1
299,11
299,3
300,1
300,2
300,3
301,21
301,6
302,1
302,11
302,3
303,4
303,1
303,5
303,3
304,13
304,12
304,68
304,32
305,13
305,12
305,68
305,32
306,13
306,12
306,68
306,32
307,64
307,16
307,19
307,20
307,65
308,14
308,6
309,14
309,33
309,6
310,11
310,3
310,30
310,46
310,52
311,14
311,12
312,21
312,6
313,1
313,11
313,3
314,4
314,1
314,5
314,3
315,1
315,11
315,3
316,52
316,30
316,46
317,14
317,6
317,22
318,17
318,18
318,6
318,3
319,4
319,5
319,3
320,14
320,3
321,22
321,6
321,53
321,3
322,39
322,16
322,69
322,70
323,39
323,16
323,69
323,70
324,26
324,14
324,28
324,6
324,27
325,64
325,16
325,19
325,20
325,65
326,14
326,6
327,14
327,2
327,4
327,3
328,69
328,39
328,16
328,71
328,41
329,14
329,6
330,39
330,16
330,69
330,70
331,26
331,14
331,28
331,6
331,27
332,14
332,3
333,22
333,6
333,23
334,2
334,4
334,3
335,14
335,6
335,53
335,22
336,2
336,4
336,3
337,39
337,16
337,69
337,70
338,72
338,73
338,28
338,35
339,12
339,68
339,32
340,14
340,31
340,6
341,14
341,6
342,14
342,30
342,52
342,3
343,22
343,38
343,6
344,14
344,6
345,33
345,6
346,24
346,66
346,6
347,14
347,25
347,34
347,12
347,30
348,1
348,2
348,3
349,55
349,39
349,74
349,41
350,14
350,39
351,14
351,7
351,39
351,6
352,2
352,4
352,3
353,24
353,6
353,66
354,13
354,12
354,68
355,13
355,12
355,68
356,39
356,16
356,69
356,70
357,39
357,16
357,69
357,70
358,52
358,30
358,34
359,14
359,3
360,11
360,4
360,3
361,12
361,68
361,32
362,14
362,31
362,6
363,14
363,31
363,6
364,14
364,9
364,15
364,52
365,24
365,6
365,66
366,2
366,4
366,3
367,26
367,27
367,6
367,28
368,14
368,2
368,4
368,3
369,8
369,9
369,52
369,10
370,8
370,9
370,52
370,10
371,8
371,9
371,52
371,10
372,22
372,1
372,2
372,3
373,8
373,9
373,52
373,10
374,8
374,9
374,52
374,10
375,8
375,9
375,52
375,10
376,14
376,6
377,8
377,9
377,52
377,10
378,8
378,9
378,52
378,10
379,8
379,9
379,52
379,10
380,52
380,14
380,30
381,8
381,9
381,52
381,10
382,14
382,3
383,8
383,9
383,52
383,10
384,8
384,9
384,52
384,10
385,8
385,9
385,52
385,10
386,8
386,9
386,52
386,10
387,17
387,18
387,6
387,3
388,8
388,9
388,52
388,10
389,8
389,9
389,52
389,10
390,8
390,9
390,52
390,10
391,52
391,14
391,30
392,14
392,12
392,68
392,29
393,8
393,9
393,52
393,10
394,52
394,14
394,30
394,34
395,8
395,9
395,52
395,10
396,8
396,9
396,52
396,10
397,8
397,9
397,52
397,10
398,14
398,6
399,8
399,9
399,52
399,10
400,8
400,9
400,52
400,10
401,8
401,9
401,52
401,10
402,8
402,9
402,52
402,10
403,8
403,9
403,52
403,10
404,14
404,31
404,6
405,8
405,9
405,52
405,10
406,8
406,9
406,52
406,10
407,8
407,9
407,52
407,10
408,33
408,6
409,8
409,9
409,52
409,10
410,8
410,9
410,52
410,10
411,8
411,9
411,52
411,10
412,22
412,6
412,14
413,14
413,6
414,2
414,4
414,3
415,2
415,4
415,3
416,2
416,4
416,3
417,2
417,4
417,3
418,1
418,2
418,4
418,3
419,2
419,4
419,3
420,22
420,6
420,3
421,2
421,4
421,3
422,2
422,3
422,14
422,1
422,30
423,17
423,18
423,6
423,3
424,24
424,6
424,66
425,14
425,32
425,68
425,30
425,12
425,52
426,14
426,31
426,6
427,14
427,6
428,22
428,6
428,14
429,2
429,4
429,3
430,2
430,4
430,3
431,14
431,48
431,28
431,6
431,27
432,14
432,6
433,21
433,6
434,13
434,12
434,68
435,13
435,12
435,68
436,14
436,6
436,3
437,2
437,4
437,3
438,2
438,4
438,3
439,2
439,4
439,3
440,33
440,6
441,33
441,6
442,22
442,6
442,53
442,14
443,14
443,39
444,21
444,6
445,2
445,4
445,3
446,63
446,30
447,8
447,9
447,52
447,10
448,14
448,9
448,15
448,52
449,40
449,39
449,41
449,69
450,63
450,30
450,62
451,14
451,6
451,22
451,3
452,12
452,68
452,25
453,52
453,14
453,30
454,2
454,4
454,3
455,14
455,39
456,14
456,39
457,24
457,6
457,66
458,14
458,52
458,45
458,30
459,14
459,3
460,17
460,18
460,6
460,3
461,14
461,3
462,14
462,3
463,5
463,3
463,75
464,52
464,30
465,2
465,4
465,3
466,39
466,76
466,41
466,77
467,14
467,31
467,6
468,22
468,6
468,3
469,6
469,56
469,78
470,64
470,16
470,19
470,20
470,65
471,52
471,14
471,30
471,34
472,2
472,4
472,3
473,14
473,12
474,1
474,2
474,3
475,14
475,6
476,14
476,2
476,4
476,3
477,11
477,3
477,14
477,4
477,1
478,22
478,6
478,14
479,22
479,38
479,6
480,52
480,14
480,30
481,79
481,43
481,3
481,80
481,50
482,2
482,4
482,3
483,13
483,12
483,68
483,32
484,43
484,3
484,57
485,39
485,16
485,69
485,70
486,4
486,5
486,3
487,79
487,43
487,3
487,80
487,50
488,14
488,6
489,22
489,81
489,6
489,14
490,21
490,30
490,6
490,34
490,52
491,24
491,6
491,66
492,14
492,31
492,6
493,82
493,51
493,16
493,19
493,20
493,83
493,65
494,26
494,28
494,6
494,27
494,84
495,85
495,86
495,87
495,28
496,73
496,3
496,14
496,72
496,28
496,35
497,26
497,28
497,6
497,27
497,84
498,26
498,28
498,6
498,27
498,84
499,14
499,6
500,14
500,43
500,88
500,3
501,14
501,12
502,89
502,90
503,14
503,31
503,6
504,31
504,6
505,13
505,12
505,68
506,13
506,12
506,68
507,12
507,68
507,32
508,14
508,39
509,14
509,3
510,14
510,45
511,1
511,2
511,4
511,3
512,6
512,66
513,21
513,6
514,1
514,2
514,4
514,3
515,12
515,68
515,32
516,14
516,28
517,2
517,3
517,14
517,4
517,45
518,2
518,4
518,3
519,14
519,3
520,14
520,52
520,45
520,30
521,33
521,6
522,22
522,6
522,3
523,22
523,6
523,3
524,2
524,3
524,14
524,4
524,45
525,14
525,12
526,24
526,6
526,66
527,1
527,11
527,3
528,14
528,6
529,22
529,6
529,14
530,42
530,43
530,3
530,14
530,60
530,30
531,14
531,28
532,14
532,6
533,12
533,68
533,32
534,39
534,40
534,69
535,14
535,43
535,3
535,57
536,22
536,6
536,14
537,22
537,6
537,23
538,14
538,31
538,6
539,22
539,6
539,14
540,22
540,6
540,14
541,14
541,60
541,28
541,30
541,35
541,58
542,54
542,45
542,59
543,14
543,6
544,79
544,43
544,3
544,80
544,50
545,1
545,2
545,3
546,2
546,4
546,3
547,22
547,81
547,6
547,14
548,11
548,4
548,3
549,22
549,6
