game_id,date
216,"Oct 14, 2016        "
217,"Oct 7, 2016         "
218,"Sep 30, 2016        "
219,"Sep 30, 2016        "
220,"Sep 16, 2016        "
221,"Sep 1, 2016         "
222,"Sep 1, 2016         "
223,"Aug 19, 2016        "
224,"Aug 19, 2016        "
225,"Jul 21, 2016        "
226,"Jul 6, 2016         "
227,"Jul 1, 2016         "
228,"Jun 30, 2016        "
229,"Jun 30, 2016        "
230,"Jun 24, 2016        "
231,"Jun 24, 2016        "
232,"Jun 24, 2016        "
233,"Jun 24, 2016        "
234,"Jun 24, 2016        "
235,"Jun 24, 2016        "
236,"Jun 15, 2016        "
237,"Jun 10, 2016        "
238,"Jun 10, 2016        "
239,"May 19, 2016        "
240,"May 13, 2016        "
241,"May 5, 2016         "
242,"Apr 22, 2016        "
243,"Apr 22, 2016        "
244,"Apr 22, 2016        "
245,"Apr 15, 2016        "
246,"Mar 31, 2016        "
247,"Mar 30, 2016        "
248,"Mar 25, 2016        "
249,"Mar 25, 2016        "
250,"Mar 25, 2016        "
251,"Mar 18, 2016        "
252,"Mar 18, 2016        "
253,"Mar 10, 2016        "
254,"Mar 4, 2016         "
255,"Feb 19, 2016        "
256,"Feb 19, 2016        "
257,"Feb 19, 2016        "
258,"Jan 22, 2016        "
259,"Dec 4, 2015         "
260,"Dec 3, 2015         "
261,"Nov 20, 2015        "
262,"Nov 20, 2015        "
263,"Nov 13, 2015        "
264,"Nov 10, 2015        "
265,"Nov 6, 2015         "
266,"Oct 23, 2015        "
267,"Oct 22, 2015        "
268,"Oct 16, 2015        "
269,"Oct 9, 2015         "
270,"Sep 25, 2015        "
271,"Sep 11, 2015        "
272,"Aug 31, 2015        "
273,"Aug 28, 2015        "
274,"Aug 21, 2015        "
275,"Jun 25, 2015        "
276,"Jun 14, 2015        "
277,"Jun 14, 2015        "
278,"Jun 11, 2015        "
279,"May 29, 2015        "
280,"May 22, 2015        "
281,"May 14, 2015        "
282,"Apr 30, 2015        "
283,"Apr 28, 2015        "
284,"Apr 28, 2015        "
285,"Apr 23, 2015        "
286,"Apr 10, 2015        "
287,"Apr 8, 2015         "
288,"Apr 2, 2015         "
289,"Mar 20, 2015        "
290,"Mar 20, 2015        "
291,"Mar 13, 2015        "
292,"Mar 12, 2015        "
293,"Mar 5, 2015         "
